GEO_CODE,name,GEO_TYPE,GEO_TYP2,population,Population (usual residents) : All dependent children in households - Unit : Persons,Population (usual residents) : Schoolchild or full-time student aged 4 and over at their non-term-time address - Unit : Persons,Population (usual residents) : Density (number of persons per Hectare) - Unit : Persons,Population (usual residents) : All usual residents in households - Unit : Persons,Population (usual residents) : All usual residents in communal establishments (including people enumerated as sleeping rough) - Unit : Persons,Population (usual residents) : All usual residents in communal establishments - Unit : Persons,Population (usual residents) : All households - Unit : Households,Population (usual residents) : All communal establishments - Unit : Communal establishments,Population (usual residents) : Area (Hectares) - Unit : Hectares
W06000012,Neath Port Talbot,Local Authorities,LA,139812,,1192,3.168476,138682,1130,1130,60393,,44125.95
W06000013,Bridgend,Local Authorities,LA,139178,,1501,5.550526,136842,2336,2336,58515,,25074.74
W06000014,The Vale of Glamorgan,Local Authorities,LA,126336,,1857,3.817342,124259,2077,2077,53505,,33095.28
W06000015,Cardiff,Local Authorities,LA,346090,,3917,24.65345,334551,11539,11539,142557,,14038.2
W06000016,Rhondda Cynon Taf,Local Authorities,LA,234410,,1881,5.526847,231885,2525,2525,99663,,42412.97
W06000018,Caerphilly,Local Authorities,LA,178806,,1436,6.444616,177755,1051,1051,74479,,27745.02
W06000019,Blaenau Gwent,Local Authorities,LA,69814,,521,6.418993,69239,575,575,30416,,10876.16
W06000020,Torfaen,Local Authorities,LA,91075,,792,7.248839,90360,715,715,38524,,12564.08
W06000021,Monmouthshire,Local Authorities,LA,91323,,1682,1.075464,89694,1629,1629,38233,,84914.94
W06000022,Newport,Local Authorities,LA,145736,,1509,7.649541,144103,1633,1633,61172,,19051.6
W06000023,Powys,Local Authorities,LA,132976,,2117,0.2566921,131047,1929,1929,58345,,518037
W06000024,Merthyr Tydfil,Local Authorities,LA,58802,,474,5.278792,58334,468,468,24264,,11139.29
