GEO_CODE,name,GEO_TYPE,GEO_TYP2,population,Population (usual residents) : All dependent children in households - Unit : Persons,Population (usual residents) : Schoolchild or full-time student aged 4 and over at their non-term-time address - Unit : Persons,Population (usual residents) : Density (number of persons per Hectare) - Unit : Persons,Population (usual residents) : All usual residents in households - Unit : Persons,Population (usual residents) : All usual residents in communal establishments (including people enumerated as sleeping rough) - Unit : Persons,Population (usual residents) : All usual residents in communal establishments - Unit : Persons,Population (usual residents) : All households - Unit : Households,Population (usual residents) : All communal establishments - Unit : Communal establishments,Population (usual residents) : Area (Hectares) - Unit : Hectares
E07000208,Epsom and Ewell,Local Authorities,LA,75102,,1278,22.04156,74026,1076,1076,29784,,3407.29
E07000209,Guildford,Local Authorities,LA,137183,,2749,5.063363,130920,6263,6263,53973,,27093.26
E07000210,Mole Valley,Local Authorities,LA,85375,,2024,3.304976,83985,1390,1390,35828,,25832.26
E07000211,Reigate and Banstead,Local Authorities,LA,137835,,2235,10.67379,134346,3489,3489,55423,,12913.41
E07000212,Runnymede,Local Authorities,LA,80510,,1251,10.31608,77346,3164,3164,32714,,7804.32
E07000213,Spelthorne,Local Authorities,LA,95598,,1006,21.29871,94837,761,761,39512,,4488.44
E07000214,Surrey Heath,Local Authorities,LA,86144,,1743,9.05894,84440,1704,1704,33546,,9509.28
E07000215,Tandridge,Local Authorities,LA,82998,,1590,3.344134,80916,2082,2082,33342,,24818.98
E07000216,Waverley,Local Authorities,LA,121572,,3049,3.522098,117219,4353,4353,49280,,34516.93
E07000217,Woking,Local Authorities,LA,99198,,1701,15.59822,98282,916,916,39467,,6359.57
E07000218,North Warwickshire,Local Authorities,LA,62014,,656,2.181541,61468,546,546,25812,,28426.69
E07000219,Nuneaton and Bedworth,Local Authorities,LA,125252,,1221,15.86444,124410,842,842,52711,,7895.14
E07000220,Rugby,Local Authorities,LA,100075,,1449,2.850213,98180,1895,1895,41875,,35111.41
E07000221,Stratford-on-Avon,Local Authorities,LA,120485,,2239,1.232121,118853,1632,1632,51928,,97786.63
E07000222,Warwick,Local Authorities,LA,137648,,2264,4.865899,134590,3058,3058,58679,,28288.3
E07000223,Adur,Local Authorities,LA,61182,,546,14.63436,60424,758,758,26957,,4180.71
E07000224,Arun,Local Authorities,LA,149518,,1441,6.774465,145744,3774,3774,66706,,22070.82
E07000225,Chichester,Local Authorities,LA,113794,,2338,1.447336,110837,2957,2957,49848,,78623.08
E07000226,Crawley,Local Authorities,LA,106597,,1053,23.70366,105859,738,738,42727,,4497.07
E07000227,Horsham,Local Authorities,LA,131301,,2579,2.476113,128633,2668,2668,54923,,53027.07
E07000228,Mid Sussex,Local Authorities,LA,139860,,2467,4.187126,137291,2569,2569,57409,,33402.39
E07000229,Worthing,Local Authorities,LA,104640,,1063,32.21466,102752,1888,1888,47044,,3248.21
E07000234,Bromsgrove,Local Authorities,LA,93637,,1490,4.315684,90833,2804,2804,38290,,21696.91
E07000235,Malvern Hills,Local Authorities,LA,74631,,1392,1.293272,72422,2209,2209,32212,,57707.13
E07000236,Redditch,Local Authorities,LA,84214,,823,15.52338,83745,469,469,34722,,5424.98
E07000237,Worcester,Local Authorities,LA,98768,,1094,29.67869,96854,1914,1914,42042,,3327.91
E07000238,Wychavon,Local Authorities,LA,116944,,1874,1.762423,115545,1399,1399,49466,,66354.12
E07000239,Wyre Forest,Local Authorities,LA,97975,,1042,5.013905,96958,1017,1017,42985,,19540.66
E08000001,Bolton,Local Authorities,LA,276786,,2747,19.79823,274855,1931,1931,116371,,13980.34
E08000002,Bury,Local Authorities,LA,185060,,2472,18.60191,183025,2035,2035,78113,,9948.44
E08000003,Manchester,Local Authorities,LA,503127,,3736,43.5062,481030,22097,22097,204969,,11564.49
E08000004,Oldham,Local Authorities,LA,224897,,2118,15.79722,223170,1727,1727,89703,,14236.49
E08000005,Rochdale,Local Authorities,LA,211699,,2083,13.39183,209552,2147,2147,87552,,15808.07
E08000006,Salford,Local Authorities,LA,233933,,2045,24.06961,228346,5587,5587,103556,,9719.02
E08000007,Stockport,Local Authorities,LA,283275,,3722,22.47112,280915,2360,2360,121979,,12606.18
E08000008,Tameside,Local Authorities,LA,219324,,1769,21.25822,217736,1588,1588,94953,,10317.14
E08000009,Trafford,Local Authorities,LA,226578,,3435,21.36776,225277,1301,1301,94484,,10603.73
E08000010,Wigan,Local Authorities,LA,317849,,2601,16.88966,315794,2055,2055,136386,,18819.15
E08000011,Knowsley,Local Authorities,LA,145893,,781,16.87223,144990,903,903,61323,,8646.93
E08000012,Liverpool,Local Authorities,LA,466415,,3283,41.70247,450085,16330,16330,206515,,11184.35
E08000013,St. Helens,Local Authorities,LA,175308,,1499,12.85414,173958,1350,1350,75736,,13638.25
E08000014,Sefton,Local Authorities,LA,273790,,3000,17.87887,269697,4093,4093,117930,,15313.61
E08000015,Wirral,Local Authorities,LA,319783,,3702,20.36194,316384,3399,3399,140583,,15704.94
E08000016,Barnsley,Local Authorities,LA,231221,,1681,7.02686,229539,1682,1682,100734,,32905.31
E08000017,Doncaster,Local Authorities,LA,302402,,2764,5.324052,297200,5202,5202,126487,,56799.22
E08000018,Rotherham,Local Authorities,LA,257280,,2178,8.978923,255334,1946,1946,108293,,28653.77
